threshold,precision,recall,f1,predicted_positive_rate
0.1,0.14933515172178657,0.9769516728624535,0.2590694006309148,0.8891471301535974
0.15,0.170662100456621,0.8892193308550186,0.2863641805339399,0.7081649151172191
0.2,0.20052920052920054,0.7888475836431227,0.31977094635322484,0.5346604688763137
0.25,0.2275464781356376,0.6460966542750929,0.33656080557707196,0.3859135004042037
0.3,0.2539507533994855,0.5137546468401487,0.3398917855386129,0.27495957962813256
0.35,0.28283378746594007,0.3858736059479554,0.3264150943396227,0.18542845594179466
0.4,0.3234797297297297,0.28475836431226764,0.3028865164096481,0.1196443007275667
0.45,0.3736111111111111,0.2,0.26053268765133175,0.07275666936135812
0.5,0.42424242424242425,0.14572490706319702,0.21693414499169894,0.046685529506871465
0.55,0.47038327526132406,0.10037174721189591,0.16544117647058826,0.029001616814874696
0.6,0.5529411764705883,0.06988847583643122,0.12409240924092409,0.017178658043654
0.65,0.5425531914893617,0.0379182156133829,0.07088255733148018,0.009498787388843978
0.7,0.5961538461538461,0.023048327137546468,0.04438081603435934,0.005254648342764754
0.75,0.6071428571428571,0.012639405204460967,0.0247632920611799,0.0028294260307194824
0.8,0.5555555555555556,0.0037174721189591076,0.007385524372230428,0.0009094583670169765
0.85,0.5,0.0007434944237918215,0.0014847809948032665,0.0002021018593371059
0.9,0.0,0.0,0.0,0.0
